crime_date_time,location,district,neighborhood,premise,year,month,date,time_range,quarter,longitude,latitude,victims,average_age,juvenile_victims,id,near_western_near,geometry,color
2022-01-08T21:01:00Z,500 W Hoffman St,Central,Upton,Street,2022,1,2022-01-08,Night,1,-76.6266,39.3004,1,22,0,5766,TRUE,"c(-76.6266, 39.3004)",#00d3ff
2022-01-09T01:38:00Z,300 S Addison St,Southern,Carrollton Ridge,Street,2022,1,2022-01-09,Early Morning,1,-76.6459,39.2842,1,45,0,5767,TRUE,"c(-76.6459, 39.2842)",#d25a3f
2022-01-15T20:57:56Z,2600 Saint Benedict St,Southwestern,Millhill,Street,2022,1,2022-01-15,Night,1,-76.6565,39.28,1,60,0,5785,TRUE,"c(-76.6565, 39.28)",#0065d1
2022-01-17T14:00:00Z,2000 W Pratt St,Southern,Carrollton Ridge,Public Area,2022,1,2022-01-17,Early Afternoon,1,-76.6487,39.2852,2,25,0,5790,TRUE,"c(-76.6487, 39.2852)",#d25a3f
2022-01-28T06:52:00Z,2500 Mchenry St,Southwestern,Shipley Hill,Street,2022,1,2022-01-28,Morning,1,-76.656,39.284,1,29,0,5823,TRUE,"c(-76.656, 39.284)",#0065d1
2022-01-31T01:37:50Z,3400 N Franklintown Rd,Southwestern,Franklintown Road,Street,2022,1,2022-01-31,Early Morning,1,-76.6681,39.2989,1,31,0,5828,TRUE,"c(-76.6681, 39.2989)",#0065d1
2022-02-02T14:36:00Z,1100 Carroll St,Southern,Washington Village/Pigtown,Street,2022,2,2022-02-02,Early Afternoon,1,-76.6316,39.2821,1,30,0,5831,TRUE,"c(-76.6316, 39.2821)",#d25a3f
2022-02-08T05:14:00Z,0 S Franklintown Rd,Southwestern,Shipley Hill,Street,2022,2,2022-02-08,Morning,1,-76.6587,39.2876,1,17,1,5840,TRUE,"c(-76.6587, 39.2876)",#0065d1
2022-02-08T14:06:00Z,600 S Smallwood St,Southwestern,Carrollton Ridge,Street,2022,2,2022-02-08,Early Afternoon,1,-76.6505,39.2806,2,26,0,5841,TRUE,"c(-76.6505, 39.2806)",#0065d1
2022-02-10T12:49:00Z,2500 Linden Ave,Central,Reservoir Hill,Street,2022,2,2022-02-10,Early Afternoon,1,-76.6362,39.3152,1,22,0,5847,TRUE,"c(-76.6362, 39.3152)",#00d3ff
